广东频道,#genre#
广东珠江,http://113.83.248.110:4200/rtp/239.77.0.1:5146$1920x1080
广东珠江,https://skype.serv00.net/itouch.php?id=gdzj$1920x1080
广东体育,http://113.83.248.110:4200/rtp/239.77.0.168:5146$1920x1080
广东体育,http://113.83.248.110:4200/rtp/239.77.0.112:5146$1920x1080
广东体育,https://skype.serv00.net/itouch.php?id=gdty$1920x1080
广东体育,http://113.83.248.110:4200/rtp/239.77.0.6:5146$720x576
广东新闻,https://skype.serv00.net/itouch.php?id=gdxw$1920x1080
广东新闻,http://113.83.248.110:4200/rtp/239.77.0.4:5146$720x576
广东新闻,http://mom.coms.hk:9901/tsfile/live/1008_1.m3u8$720x576
广东卫视,http://113.83.248.110:4200/rtp/239.77.1.19:5146$1920x1080
广东卫视,http://113.83.248.110:4200/rtp/239.77.0.233:5146$720x576
大湾区卫视,https://skype.serv00.net/itouch.php?id=nfws$1920x1080
江门综合,http://113.83.248.110:4200/rtp/239.77.0.201:5146$1920x1080
新会综合,https://skype.serv00.net/itouch.php?id=xhzh$1920x1080
鹤山综合,https://skype.serv00.net/itouch.php?id=hszh$1920x1080
佛山综合,http://113.83.248.110:4200/rtp/239.253.43.57:5146$1920x1080
佛山影视,http://113.83.248.110:4200/rtp/239.253.43.56:5146$1920x1080
央视频道,#genre#
CCTV-1,http://113.83.248.110:4200/rtp/239.77.0.119:5146$1920x1080
CCTV-1,http://113.83.248.110:4200/rtp/239.77.0.30:5146$720x576
CCTV-1,http://113.83.248.110:4200/rtp/239.77.0.14:5146$720x576
CCTV-1,http://123.146.162.24:8013/tslslive/noEX9SG/hls/live_sd.m3u8$720x576
CCTV-2,http://113.83.248.110:4200/rtp/239.77.0.31:5146$720x576
CCTV-3,http://113.83.248.110:4200/rtp/239.77.0.169:5146$1920x1080
CCTV-3,http://113.83.248.110:4200/rtp/239.77.0.32:5146$720x576
CCTV-4,http://113.83.248.110:4200/rtp/239.77.1.163:5146$1920x1080
CCTV-5,http://113.83.248.110:4200/rtp/239.77.0.170:5146$1920x1080
CCTV-5,http://113.83.248.110:4200/rtp/239.77.0.34:5146$720x576
CCTV-6,http://113.83.248.110:4200/rtp/239.77.0.171:5146$1920x1080
CCTV-6,http://113.83.248.110:4200/rtp/239.77.0.35:5146$720x576
CCTV-8,http://113.83.248.110:4200/rtp/239.77.0.172:5146$1920x1080
CCTV-8,http://113.83.248.110:4200/rtp/239.77.0.37:5146$720x576
